"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_MM_DD_YYYY","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Dealer_Positions_Long_All","Dealer_Positions_Short_All","Dealer_Positions_Spread_All","Asset_Mgr_Positions_Long_All","Asset_Mgr_Positions_Short_All","Asset_Mgr_Positions_Spread_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","Lev_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Change_in_Open_Interest_All","Change_in_Dealer_Long_All","Change_in_Dealer_Short_All","Change_in_Dealer_Spread_All","Change_in_Asset_Mgr_Long_All","Change_in_Asset_Mgr_Short_All","Change_in_Asset_Mgr_Spread_All","Change_in_Lev_Money_Long_All","Change_in_Lev_Money_Short_All","Change_in_Lev_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Dealer_Long_All","Pct_of_OI_Dealer_Short_All","Pct_of_OI_Dealer_Spread_All","Pct_of_OI_Asset_Mgr_Long_All","Pct_of_OI_Asset_Mgr_Short_All","Pct_of_OI_Asset_Mgr_Spread_All","Pct_of_OI_Lev_Money_Long_All","Pct_of_OI_Lev_Money_Short_All","Pct_of_OI_Lev_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Traders_Tot_All","Traders_Dealer_Long_All","Traders_Dealer_Short_All","Traders_Dealer_Spread_All","Traders_Asset_Mgr_Long_All","Traders_Asset_Mgr_Short_All","Traders_Asset_Mgr_Spread_All","Traders_Lev_Money_Long_All","Traders_Lev_Money_Short_All","Traders_Lev_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"NIKKEI STOCK AVERAGE YEN DENOM - CHICAGO MERCANTILE EXCHANGE" ,101109 ,2010-11-09,240743 ,CME ,00 ,240 ,   46925,   19040,   19681,     996,    6219,    1582,     655,   10494,   11756,      39,     450,     265,       0,   37893,   34974,    9032,   11951,     120,   -4868,    1029,     329,    1337,   -1006,     -53,    3511,    -119,     -95,     -20,     -47,      -8,     133,      30,     -13,      90,  100.0,   40.6,   41.9,    2.1,   13.3,    3.4,    1.4,   22.4,   25.1,    0.1,    1.0,    0.6,    0.0,   80.8,   74.5,   19.2,   25.5,     52,     13,     10,      .,      7,      .,      .,      8,     11,      .,      .,      .,      0,     30,     28,    34.3,    40.0,    51.8,    54.1,    32.6,    40.0,    49.4,    54.1,"(NIKKEI INDEX X JPY 500)" ,"240743" ,"CME" ,"240" ,"F20" ,"Combined"
"NIKKEI STOCK AVERAGE YEN DENOM - CHICAGO MERCANTILE EXCHANGE" ,101102 ,2010-11-02,240743 ,CME ,00 ,240 ,   46805,   23908,   18652,     667,    4882,    2588,     708,    6983,   11875,     134,     470,     312,       8,   37760,   34944,    9045,   11861,    2834,    4886,     546,     -81,   -1180,     972,      38,      45,    -586,    -562,    -266,      75,       8,    2888,     410,     -54,    2424,  100.0,   51.1,   39.9,    1.4,   10.4,    5.5,    1.5,   14.9,   25.4,    0.3,    1.0,    0.7,    0.0,   80.7,   74.7,   19.3,   25.3,     55,     15,     11,      .,      6,      .,      .,      8,     11,      .,      .,      .,      .,     33,     30,    38.4,    38.5,    53.8,    52.2,    37.1,    38.5,    52.2,    52.2,"(NIKKEI INDEX X JPY 500)" ,"240743" ,"CME" ,"240" ,"F20" ,"Combined"
"NIKKEI STOCK AVERAGE YEN DENOM - CHICAGO MERCANTILE EXCHANGE" ,101026 ,2010-10-26,240743 ,CME ,00 ,240 ,   43971,   19022,   18106,     748,    6062,    1616,     670,    6938,   12461,     696,     736,     237,       0,   34872,   34534,    9099,    9437,    4873,    2991,    2287,     145,     136,      -8,      15,     434,    1244,     193,      -6,    -489,     -20,    3888,    3367,     985,    1506,  100.0,   43.3,   41.2,    1.7,   13.8,    3.7,    1.5,   15.8,   28.3,    1.6,    1.7,    0.5,    0.0,   79.3,   78.5,   20.7,   21.5,     54,     12,     11,      .,      7,      .,      .,      8,     12,      .,      .,      .,      0,     31,     29,    36.2,    41.6,    50.9,    55.7,    34.3,    41.6,    49.0,    55.7,"(NIKKEI INDEX X JPY 500)" ,"240743" ,"CME" ,"240" ,"F20" ,"Combined"
"NIKKEI STOCK AVERAGE YEN DENOM - CHICAGO MERCANTILE EXCHANGE" ,101019 ,2010-10-19,240743 ,CME ,00 ,240 ,   39098,   16031,   15819,     603,    5926,    1624,     655,    6504,   11217,     503,     742,     726,      20,   30984,   31167,    8114,    7931,    2298,    1029,    -541,      41,     215,     -64,       0,    1403,    2699,      98,     -12,       0,       0,    2774,    2233,    -476,      65,  100.0,   41.0,   40.5,    1.5,   15.2,    4.2,    1.7,   16.6,   28.7,    1.3,    1.9,    1.9,    0.1,   79.2,   79.7,   20.8,   20.3,     49,     10,     10,      .,      7,      .,      .,      8,     10,      .,      .,      .,      .,     28,     28,    36.5,    40.1,    51.5,    54.8,    34.8,    40.1,    49.9,    54.8,"(NIKKEI INDEX X JPY 500)" ,"240743" ,"CME" ,"240" ,"F20" ,"Combined"
"NIKKEI STOCK AVERAGE YEN DENOM - CHICAGO MERCANTILE EXCHANGE" ,101012 ,2010-10-12,240743 ,CME ,00 ,240 ,   36800,   15002,   16360,     562,    5711,    1688,     655,    5101,    8518,     405,     754,     726,      20,   28210,   28934,    8590,    7866,   -3995,     737,    -809,     -24,     144,     -38,     -58,   -3204,      10,      37,     205,       0,      20,   -2143,    -862,   -1852,   -3133,  100.0,   40.8,   44.5,    1.5,   15.5,    4.6,    1.8,   13.9,   23.1,    1.1,    2.0,    2.0,    0.1,   76.7,   78.6,   23.3,   21.4,     46,     10,     10,      .,      7,      .,      .,      6,      9,      .,      .,      .,      .,     27,     26,    35.8,    44.4,    49.0,    61.2,    34.0,    44.4,    47.2,    61.2,"(NIKKEI INDEX X JPY 500)" ,"240743" ,"CME" ,"240" ,"F20" ,"Combined"
"NIKKEI STOCK AVERAGE YEN DENOM - CHICAGO MERCANTILE EXCHANGE" ,101005 ,2010-10-05,240743 ,CME ,00 ,240 ,   40795,   14265,   17169,     586,    5567,    1726,     713,    8305,    8508,     368,     549,     726,       0,   30353,   29796,   10442,   10999,    5264,     478,    2411,     394,     278,    -254,     245,    3848,    4636,    -116,      26,     484,       0,    5153,    7800,     111,   -2536,  100.0,   35.0,   42.1,    1.4,   13.6,    4.2,    1.7,   20.4,   20.9,    0.9,    1.3,    1.8,    0.0,   74.4,   73.0,   25.6,   27.0,     50,     11,     12,      .,      7,      .,      .,      8,      8,      .,      .,      .,      0,     30,     26,    38.7,    40.7,    50.9,    56.6,    37.0,    40.7,    49.2,    56.6,"(NIKKEI INDEX X JPY 500)" ,"240743" ,"CME" ,"240" ,"F20" ,"Combined"
"NIKKEI STOCK AVERAGE YEN DENOM - CHICAGO MERCANTILE EXCHANGE" ,100928 ,2010-09-28,240743 ,CME ,00 ,240 ,   35531,   13787,   14758,     192,    5289,    1980,     468,    4457,    3872,     484,     523,     242,       0,   25200,   21996,   10331,   13535,    2780,    1163,    2012,    -154,    -768,    -734,      75,    -488,   -1126,     322,     270,     242,       0,     420,     637,    2360,    2143,  100.0,   38.8,   41.5,    0.5,   14.9,    5.6,    1.3,   12.5,   10.9,    1.4,    1.5,    0.7,    0.0,   70.9,   61.9,   29.1,   38.1,     44,     10,      8,      .,      7,      .,      .,      6,      8,      .,      .,      .,      0,     28,     21,    36.7,    32.7,    48.5,    48.8,    35.1,    32.7,    47.0,    48.8,"(NIKKEI INDEX X JPY 500)" ,"240743" ,"CME" ,"240" ,"F20" ,"Combined"
"NIKKEI STOCK AVERAGE YEN DENOM - CHICAGO MERCANTILE EXCHANGE" ,100921 ,2010-09-21,240743 ,CME ,00 ,240 ,   32751,   12624,   12746,     346,    6057,    2714,     393,    4945,    4998,     162,     253,       0,       0,   24780,   21359,    7971,   11392,    1719,     890,    3772,    -612,    -458,    -381,       0,    3059,      84,      29,     253,       0,       0,    3161,    2892,   -1442,   -1173,  100.0,   38.5,   38.9,    1.1,   18.5,    8.3,    1.2,   15.1,   15.3,    0.5,    0.8,    0.0,    0.0,   75.7,   65.2,   24.3,   34.8,     45,      9,     10,      .,      8,      .,      .,      6,      8,      .,      .,      0,      0,     27,     23,    39.8,    31.4,    52.7,    44.6,    37.7,    31.4,    50.6,    44.6,"(NIKKEI INDEX X JPY 500)" ,"240743" ,"CME" ,"240" ,"F20" ,"Combined"
"NIKKEI STOCK AVERAGE YEN DENOM - CHICAGO MERCANTILE EXCHANGE" ,100914 ,2010-09-14,240743 ,CME ,00 ,240 ,   31032,   11734,    8974,     958,    6515,    3095,     393,    1886,    4914,     133,       0,       0,       0,   21619,   18467,    9413,   12565,  -26899,  -20904,  -10123,   -2653,      25,     405,    -124,    -547,   -4789,    -702,       0,    -984,    -236,  -25141,  -19206,   -1758,   -7693,  100.0,   37.8,   28.9,    3.1,   21.0,   10.0,    1.3,    6.1,   15.8,    0.4,    0.0,    0.0,    0.0,   69.7,   59.5,   30.3,   40.5,     44,      9,      7,      .,      8,      4,      .,      5,     11,      .,      0,      0,      0,     24,     25,    39.2,    29.4,    51.9,    40.2,    36.7,    29.4,    47.7,    39.8,"(NIKKEI INDEX X JPY 500)" ,"240743" ,"CME" ,"240" ,"F20" ,"Combined"
"NIKKEI STOCK AVERAGE YEN DENOM - CHICAGO MERCANTILE EXCHANGE" ,100907 ,2010-09-07,240743 ,CME ,00 ,240 ,   57931,   32638,   19097,    3611,    6490,    2690,     517,    2433,    9703,     835,       0,     984,     236,   46760,   37673,   11171,   20258,    3418,     696,   -1588,     988,    -677,   -1211,      90,      48,     559,     216,       0,     210,     236,    1597,    -500,    1821,    3918,  100.0,   56.3,   33.0,    6.2,   11.2,    4.6,    0.9,    4.2,   16.7,    1.4,    0.0,    1.7,    0.4,   80.7,   65.0,   19.3,   35.0,     63,     18,     11,     11,      8,      4,      .,      4,     15,      .,      0,      .,      .,     37,     42,    46.6,    24.9,    58.0,    35.6,    42.0,    23.6,    52.7,    33.8,"(NIKKEI INDEX X JPY 500)" ,"240743" ,"CME" ,"240" ,"F20" ,"Combined"
"NIKKEI STOCK AVERAGE YEN DENOM - CHICAGO MERCANTILE EXCHANGE" ,100831 ,2010-08-31,240743 ,CME ,00 ,240 ,   54513,   31942,   20685,    2623,    7167,    3901,     427,    2385,    9144,     619,       0,     774,       0,   45163,   38173,    9350,   16340,    -435,    1410,    2355,     241,     441,     229,      17,     103,    -608,    -753,       0,     450,       0,    1459,    1931,   -1894,   -2366,  100.0,   58.6,   37.9,    4.8,   13.1,    7.2,    0.8,    4.4,   16.8,    1.1,    0.0,    1.4,    0.0,   82.8,   70.0,   17.2,   30.0,     61,     15,     11,      .,      8,      5,      .,      5,     15,      .,      0,      .,      0,     30,     36,    48.3,    29.3,    62.5,    41.5,    44.6,    29.0,    58.0,    38.9,"(NIKKEI INDEX X JPY 500)" ,"240743" ,"CME" ,"240" ,"F20" ,"Combined"
"NIKKEI STOCK AVERAGE YEN DENOM - CHICAGO MERCANTILE EXCHANGE" ,100824 ,2010-08-24,240743 ,CME ,00 ,240 ,   54948,   30532,   18330,    2382,    6726,    3672,     410,    2282,    9752,    1372,       0,     324,       0,   43704,   36242,   11244,   18706,    2379,     403,     847,     153,    -379,     317,       0,    -527,     948,     636,       0,      20,       0,     286,    2921,    2093,    -542,  100.0,   55.6,   33.4,    4.3,   12.2,    6.7,    0.7,    4.2,   17.7,    2.5,    0.0,    0.6,    0.0,   79.5,   66.0,   20.5,   34.0,     60,     15,     10,      .,      7,      5,      .,      5,     17,      .,      0,      .,      0,     29,     36,    45.0,    27.9,    59.0,    39.3,    41.6,    27.9,    54.7,    36.8,"(NIKKEI INDEX X JPY 500)" ,"240743" ,"CME" ,"240" ,"F20" ,"Combined"
"NIKKEI STOCK AVERAGE YEN DENOM - CHICAGO MERCANTILE EXCHANGE" ,100817 ,2010-08-17,240743 ,CME ,00 ,240 ,   52569,   30129,   17483,    2229,    7105,    3355,     410,    2809,    8804,     736,       0,     304,       0,   43418,   33321,    9151,   19248,     296,   -1616,    3611,     -56,     444,     623,      12,     185,    1808,      95,       0,    -270,       0,    -936,    5823,    1232,   -5527,  100.0,   57.3,   33.3,    4.2,   13.5,    6.4,    0.8,    5.3,   16.7,    1.4,    0.0,    0.6,    0.0,   82.6,   63.4,   17.4,   36.6,     59,     13,     10,      .,      8,      .,      .,      8,     16,      .,      0,      .,      0,     31,     33,    49.2,    28.1,    62.8,    39.0,    46.0,    27.9,    58.7,    37.0,"(NIKKEI INDEX X JPY 500)" ,"240743" ,"CME" ,"240" ,"F20" ,"Combined"
"NIKKEI STOCK AVERAGE YEN DENOM - CHICAGO MERCANTILE EXCHANGE" ,100810 ,2010-08-10,240743 ,CME ,00 ,240 ,   52273,   31745,   13872,    2285,    6661,    2732,     398,    2624,    6996,     641,       0,     574,       0,   44354,   27498,    7919,   24775,    2225,    1813,    -680,     600,      12,      83,      21,    -695,   -1627,      84,       0,     350,       0,    1835,   -1169,     390,    3394,  100.0,   60.7,   26.5,    4.4,   12.7,    5.2,    0.8,    5.0,   13.4,    1.2,    0.0,    1.1,    0.0,   84.9,   52.6,   15.1,   47.4,     59,     15,     10,      4,      7,      .,      .,      6,     16,      .,      0,      .,      0,     31,     34,    50.2,    21.4,    63.8,    30.4,    47.2,    20.8,    60.0,    28.9,"(NIKKEI INDEX X JPY 500)" ,"240743" ,"CME" ,"240" ,"F20" ,"Combined"
"NIKKEI STOCK AVERAGE YEN DENOM - CHICAGO MERCANTILE EXCHANGE" ,100803 ,2010-08-03,240743 ,CME ,00 ,240 ,   50048,   29932,   14552,    1685,    6649,    2649,     377,    3319,    8623,     557,       0,     224,       0,   42519,   28667,    7529,   21381,    2045,    1807,     766,    -538,      31,      59,     -58,     985,     463,    -421,       0,    -351,       0,    1806,     -80,     239,    2125,  100.0,   59.8,   29.1,    3.4,   13.3,    5.3,    0.8,    6.6,   17.2,    1.1,    0.0,    0.4,    0.0,   85.0,   57.3,   15.0,   42.7,     55,     13,      9,      .,      7,      .,      .,      7,     15,      .,      0,      .,      0,     29,     31,    50.2,    22.6,    64.7,    32.7,    47.7,    22.6,    61.4,    32.7,"(NIKKEI INDEX X JPY 500)" ,"240743" ,"CME" ,"240" ,"F20" ,"Combined"
"NIKKEI STOCK AVERAGE YEN DENOM - CHICAGO MERCANTILE EXCHANGE" ,100727 ,2010-07-27,240743 ,CME ,00 ,240 ,   48003,   28125,   13786,    2223,    6618,    2590,     435,    2334,    8160,     978,       0,     575,       0,   40713,   28747,    7290,   19256,    2477,     794,     481,     335,    -110,   -1737,     -37,     639,   -1556,     142,       0,     145,       0,    1763,   -2227,     714,    4704,  100.0,   58.6,   28.7,    4.6,   13.8,    5.4,    0.9,    4.9,   17.0,    2.0,    0.0,    1.2,    0.0,   84.8,   59.9,   15.2,   40.1,     57,     11,     12,      4,      9,      .,      .,      4,     16,      .,      0,      .,      0,     28,     36,    50.4,    24.6,    63.3,    34.3,    48.1,    24.6,    60.7,    33.9,"(NIKKEI INDEX X JPY 500)" ,"240743" ,"CME" ,"240" ,"F20" ,"Combined"
"NIKKEI STOCK AVERAGE YEN DENOM - CHICAGO MERCANTILE EXCHANGE" ,100720 ,2010-07-20,240743 ,CME ,00 ,240 ,   45526,   27331,   13305,    1888,    6728,    4327,     472,    1695,    9716,     836,       0,     430,       0,   38950,   30974,    6576,   14552,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,  100.0,   60.0,   29.2,    4.1,   14.8,    9.5,    1.0,    3.7,   21.3,    1.8,    0.0,    0.9,    0.0,   85.6,   68.0,   14.4,   32.0,     57,     11,     11,      4,      8,      5,      .,      .,     17,      .,      0,      .,      0,     26,     38,    51.7,    26.9,    64.7,    37.8,    49.0,    25.9,    61.5,    35.8,"(NIKKEI INDEX X JPY 500)" ,"240743" ,"CME" ,"240" ,"F20" ,"Combined"
"E-MINI MSCI EAFE - CHICAGO MERCANTILE EXCHANGE" ,101228 ,2010-12-28,244741 ,CME ,00 ,244 ,   27669,     219,    4354,      91,   15288,   11752,    3906,    3625,    5695,       0,    1003,       0,       0,   24132,   25798,    3537,    1871,     -26,       0,     338,       6,     401,    -525,     -72,    -117,     163,       0,       0,       0,       0,     218,     -90,    -244,      64,  100.0,    0.8,   15.7,    0.3,   55.3,   42.5,   14.1,   13.1,   20.6,    0.0,    3.6,    0.0,    0.0,   87.2,   93.2,   12.8,    6.8,     46,      .,      .,      .,     17,     15,      8,      4,      5,      0,      .,      0,      0,     26,     29,    41.7,    44.5,    59.3,    66.0,    36.0,    42.9,    50.9,    59.5,"(MSCI EAFE INDEX X $50)" ,"244741" ,"CME" ,"244" ,"F20" ,"Combined"
"E-MINI MSCI EAFE - CHICAGO MERCANTILE EXCHANGE" ,101221 ,2010-12-21,244741 ,CME ,00 ,244 ,   27695,     219,    4016,      85,   14887,   12277,    3978,    3742,    5532,       0,    1003,       0,       0,   23914,   25888,    3781,    1807,   -5546,    -283,   -1831,   -3008,   -1995,      11,     -56,     960,     921,   -1076,     247,       0,    -247,   -5458,   -5286,     -88,    -260,  100.0,    0.8,   14.5,    0.3,   53.8,   44.3,   14.4,   13.5,   20.0,    0.0,    3.6,    0.0,    0.0,   86.3,   93.5,   13.7,    6.5,     44,      .,      .,      .,     16,     15,      8,      4,      4,      0,      .,      0,      0,     25,     28,    41.4,    44.5,    58.6,    64.7,    35.5,    42.8,    50.1,    58.9,"(MSCI EAFE INDEX X $50)" ,"244741" ,"CME" ,"244" ,"F20" ,"Combined"
"E-MINI MSCI EAFE - CHICAGO MERCANTILE EXCHANGE" ,101214 ,2010-12-14,244741 ,CME ,00 ,244 ,   33241,     502,    5847,    3093,   16882,   12266,    4034,    2782,    4611,    1076,     756,       0,     247,   29372,   31174,    3869,    2067,    4275,     165,    1415,    3093,     -85,   -1333,     102,     455,    -155,    1076,    -494,       0,     247,    4559,    4445,    -284,    -170,  100.0,    1.5,   17.6,    9.3,   50.8,   36.9,   12.1,    8.4,   13.9,    3.2,    2.3,    0.0,    0.7,   88.4,   93.8,   11.6,    6.2,     44,      .,      .,      .,     16,     14,      9,      .,      7,      6,      .,      0,      .,     28,     33,    43.9,    44.7,    60.7,    66.4,    32.9,    39.6,    46.4,    53.2,"(MSCI EAFE INDEX X $50)" ,"244741" ,"CME" ,"244" ,"F20" ,"Combined"
"E-MINI MSCI EAFE - CHICAGO MERCANTILE EXCHANGE" ,101207 ,2010-12-07,244741 ,CME ,00 ,244 ,   28966,     337,    4432,       0,   16967,   13599,    3932,    2327,    4766,       0,    1250,       0,       0,   24813,   26729,    4153,    2237,     -47,     337,    2322,       0,    -324,   -3020,     149,    -416,      72,       0,     755,       0,       0,     501,    -477,    -548,     430,  100.0,    1.2,   15.3,    0.0,   58.6,   46.9,   13.6,    8.0,   16.5,    0.0,    4.3,    0.0,    0.0,   85.7,   92.3,   14.3,    7.7,     43,      .,      .,      0,     16,     15,      8,      .,      5,      0,      .,      0,      0,     23,     28,    44.6,    41.8,    62.1,    64.5,    38.8,    40.7,    53.4,    58.9,"(MSCI EAFE INDEX X $50)" ,"244741" ,"CME" ,"244" ,"F20" ,"Combined"
"E-MINI MSCI EAFE - CHICAGO MERCANTILE EXCHANGE" ,101130 ,2010-11-30,244741 ,CME ,00 ,244 ,   29013,       0,    2110,       0,   17291,   16619,    3783,    2743,    4694,       0,     495,       0,       0,   24312,   27206,    4701,    1807,   -1189,       0,   -1088,       0,   -1289,       1,     -23,     238,    -174,       0,       0,       0,       0,   -1074,   -1284,    -115,      95,  100.0,    0.0,    7.3,    0.0,   59.6,   57.3,   13.0,    9.5,   16.2,    0.0,    1.7,    0.0,    0.0,   83.8,   93.8,   16.2,    6.2,     42,      0,      .,      0,     16,     16,      8,      .,      4,      0,      .,      0,      0,     22,     28,    45.5,    41.3,    62.1,    64.7,    40.3,    40.5,    53.7,    59.4,"(MSCI EAFE INDEX X $50)" ,"244741" ,"CME" ,"244" ,"F20" ,"Combined"
"E-MINI MSCI EAFE - CHICAGO MERCANTILE EXCHANGE" ,101123 ,2010-11-23,244741 ,CME ,00 ,244 ,   30202,       0,    3198,       0,   18580,   16618,    3806,    2505,    4868,       0,     495,       0,       0,   25386,   28490,    4816,    1712,    -182,       0,    -870,       0,     104,    1157,    -216,    -434,    -101,       0,       0,       0,       0,    -546,     -30,     364,    -152,  100.0,    0.0,   10.6,    0.0,   61.5,   55.0,   12.6,    8.3,   16.1,    0.0,    1.6,    0.0,    0.0,   84.1,   94.3,   15.9,    5.7,     44,      0,      .,      0,     16,     16,      8,      4,      5,      0,      .,      0,      0,     23,     29,    47.3,    42.0,    62.6,    66.5,    42.2,    42.0,    53.8,    61.2,"(MSCI EAFE INDEX X $50)" ,"244741" ,"CME" ,"244" ,"F20" ,"Combined"
"E-MINI MSCI EAFE - CHICAGO MERCANTILE EXCHANGE" ,101116 ,2010-11-16,244741 ,CME ,00 ,244 ,   30384,       0,    4068,       0,   18476,   15461,    4022,    2939,    4969,       0,     495,       0,       0,   25932,   28520,    4452,    1864,     425,       0,     103,       0,       3,    1033,      49,    -145,    -273,       0,     214,       0,       0,     121,     912,     304,    -487,  100.0,    0.0,   13.4,    0.0,   60.8,   50.9,   13.2,    9.7,   16.4,    0.0,    1.6,    0.0,    0.0,   85.3,   93.9,   14.7,    6.1,     44,      0,      .,      0,     16,     16,      8,      4,      5,      0,      .,      0,      0,     23,     29,    47.7,    42.5,    64.2,    66.6,    42.0,    42.5,    54.8,    61.4,"(MSCI EAFE INDEX X $50)" ,"244741" ,"CME" ,"244" ,"F20" ,"Combined"
"E-MINI MSCI EAFE - CHICAGO MERCANTILE EXCHANGE" ,101109 ,2010-11-09,244741 ,CME ,00 ,244 ,   29959,       0,    3965,       0,   18473,   14428,    3973,    3084,    5242,       0,     281,       0,       0,   25811,   27608,    4148,    2351,    -124,       0,    1102,       0,   -1104,   -1922,     217,     250,     231,       0,       0,       0,       0,    -637,    -372,     513,     248,  100.0,    0.0,   13.2,    0.0,   61.7,   48.2,   13.3,   10.3,   17.5,    0.0,    0.9,    0.0,    0.0,   86.2,   92.2,   13.8,    7.8,     44,      0,      .,      0,     16,     15,      8,      4,      6,      0,      .,      0,      0,     23,     29,    49.3,    39.7,    66.6,    64.3,    44.1,    39.7,    57.7,    59.0,"(MSCI EAFE INDEX X $50)" ,"244741" ,"CME" ,"244" ,"F20" ,"Combined"
"E-MINI MSCI EAFE - CHICAGO MERCANTILE EXCHANGE" ,101102 ,2010-11-02,244741 ,CME ,00 ,244 ,   30083,       0,    2863,       0,   19577,   16350,    3756,    2834,    5011,       0,     281,       0,       0,   26448,   27980,    3635,    2103,   -1520,       0,   -1156,       0,   -2308,     206,    -172,     449,    -162,       0,     281,    -216,       0,   -1750,   -1500,     230,     -20,  100.0,    0.0,    9.5,    0.0,   65.1,   54.3,   12.5,    9.4,   16.7,    0.0,    0.9,    0.0,    0.0,   87.9,   93.0,   12.1,    7.0,     44,      0,      .,      0,     17,     15,      8,      4,      5,      0,      .,      0,      0,     24,     28,    50.4,    39.5,    66.5,    64.8,    45.2,    39.5,    57.3,    59.8,"(MSCI EAFE INDEX X $50)" ,"244741" ,"CME" ,"244" ,"F20" ,"Combined"
"E-MINI MSCI EAFE - CHICAGO MERCANTILE EXCHANGE" ,101026 ,2010-10-26,244741 ,CME ,00 ,244 ,   31603,       0,    4019,       0,   21885,   16144,    3928,    2385,    5173,       0,       0,     216,       0,   28198,   29480,    3405,    2123,     197,       0,    1064,       0,     383,   -1344,      35,     122,     139,       0,       0,     216,       0,     540,     110,    -343,      87,  100.0,    0.0,   12.7,    0.0,   69.2,   51.1,   12.4,    7.5,   16.4,    0.0,    0.0,    0.7,    0.0,   89.2,   93.3,   10.8,    6.7,     47,      0,      .,      0,     20,     14,      8,      4,      6,      0,      0,      .,      0,     25,     30,    49.3,    41.2,    65.8,    65.2,    42.7,    41.2,    56.3,    60.4,"(MSCI EAFE INDEX X $50)" ,"244741" ,"CME" ,"244" ,"F20" ,"Combined"
"E-MINI MSCI EAFE - CHICAGO MERCANTILE EXCHANGE" ,101019 ,2010-10-19,244741 ,CME ,00 ,244 ,   31406,       0,    2955,       0,   21502,   17488,    3893,    2263,    5034,       0,       0,       0,       0,   27658,   29370,    3748,    2036,    -298,       0,     612,       0,    -365,     808,    -426,     407,   -1068,       0,       0,       0,       0,    -384,     -74,      86,    -224,  100.0,    0.0,    9.4,    0.0,   68.5,   55.7,   12.4,    7.2,   16.0,    0.0,    0.0,    0.0,    0.0,   88.1,   93.5,   11.9,    6.5,     46,      0,      .,      0,     20,     14,      8,      4,      6,      0,      0,      0,      0,     25,     29,    48.8,    41.6,    64.5,    65.8,    42.4,    41.6,    55.6,    61.0,"(MSCI EAFE INDEX X $50)" ,"244741" ,"CME" ,"244" ,"F20" ,"Combined"
"E-MINI MSCI EAFE - CHICAGO MERCANTILE EXCHANGE" ,101012 ,2010-10-12,244741 ,CME ,00 ,244 ,   31704,       0,    2343,       0,   21867,   16680,    4319,    1856,    6102,       0,       0,       0,       0,   28042,   29444,    3662,    2260,    1187,       0,     808,       0,     353,    -619,     561,      15,     761,       0,       0,    -220,       0,     929,    1291,     258,    -104,  100.0,    0.0,    7.4,    0.0,   69.0,   52.6,   13.6,    5.9,   19.2,    0.0,    0.0,    0.0,    0.0,   88.4,   92.9,   11.6,    7.1,     46,      0,      .,      0,     18,     13,      8,      .,      9,      0,      0,      0,      0,     23,     31,    51.0,    42.2,    66.9,    62.2,    44.9,    39.1,    58.6,    56.0,"(MSCI EAFE INDEX X $50)" ,"244741" ,"CME" ,"244" ,"F20" ,"Combined"
